212,BOURIN/ROUSSELOT,Dictionnaire de la Litterature Francaise Contemporaine,14,22,3,6
213,"BOUSTEAU, Fabrice (Chief Editor)",The Invalides and the Army Museum,25,22,2,6
214,"BOWDEN, Mark",Guests of the Ayatollah,12,37,2,6
215,BOWEN/VON MECK,Beloved Friend: The Story of Tchaikovsky and Nadejda Von Meck,16,8,2,6
216,"BOWLES, Paul",Un The au Sahara (The Sheltering Sky),8,1,3,6
217,"BOWMAN, John",The Civil War Day by Day,12,16,2,6
218,"BRADFORD, Ernie",Hannibal,12,1,2,6
219,"BRADFORD, Ned (Editor)",Battles and Leaders of the Civil War,12,16,2,6
220,"BRADFORD, Sarah",Lucrezia Borgia,12,22,2,6
221,"BRADLEY, Omar N.",A General's Life - An Autobiography by General of the Army Omar N. Bradly,3,3,2,6
222,"BRAMBLE, Barry",Avoiding & Resolving Construction Claims,15,17,2,7
223,"BRAMLY, Serge",Leonardo,2,22,2,6
224,"BRANDEN, Barbara",The Passion of Ayn Rand,3,3,2,6
225,"BRANDS, H. W.","Andrew Jackson, His Life and Times",3,3,2,6
226,"BRANDS, H. W.",The Age of Gold - The California Gold Rush and the American Dream,12,3,2,6
227,"BRASH, Celeste/CARILLET, Jean-Bernard",Tahiti & French Polynesia,25,40,2,6
228,"BREEDEN, Robert L. (Editor)",Alaska - High Roads to Adventure (National Geographic),25,3,2,2
229,"BREEDEN, Stanley",Sharing the Culture - Uluru,6,40,2,6
230,"BRENDON, Piers",The Dark Valley - A Panorama of the 1930s,12,37,2,6
231,"BRENZEL, Kathleen Norris (Editor)",Western Garden Book ,1,30,2,8
232,"BRETMAN, Richard",Architect of Genocide - Himmler and the Final Solution,12,54,2,6
233,"BRETON, Andre",Nadja,8,22,3,6
234,BRETT/JOHNSON-BARKER/RENSSEN,South Africa - Eyewitness Travel Guides,25,1,2,6
235,"BRIER, Bob/HOUDIN, Jean-Pierre",The Secret of the Great Pyramid,12,5,2,6
236,"BRIGGS, Philip/MCINTYRE, Chris",Northern Tanzania,25,1,2,6
237,BRINTON/CHRISTOPHER/WOLFF,History of Civilization I: Pre-History to 1715,12,44,2,6
238,"BROGAN, D. W.",France,25,22,2,9
239,BRONOWSKI/MAZLISH,The Western Intellectual Tradition,18,27,2,6
240,BROOS/BUVELOT/PLOEG/SLUITER/SUCHTELEN,MAURITSHUIS - Royal Cabinet of Paintings,2,22,2,6
241,"BROSNAHAN, Tom",Tunisia,25,1,2,6
242,"BROWN, Anthony Cave",Treason in the Blood - Kim Philby and the Spy Case of the Century,12,37,2,6
243,"BROWN, Dale",The World of Velasquez: 1599 - 1660,2,22,2,6
244,"BROWN, Dale",Wild Alaska,25,3,2,7
245,"BROWN, Dan",The Da Vinci Code,8,3,2,7
246,"BROWN, David",A Guide to the Salem Witchcraft Hysteria of 1692,12,3,2,6
247,"BROWN, Dee",Bury My Heart at Wounded Knee - An Indian History of the American West,12,51,2,6
248,"BROWN, Ernest",California Public Works Projects,15,17,2,7
249,"BROWN, Frederick",For the Soul of France - Culture Wars in the Age of Dreyfus,12,22,2,6
